date,symbol,twitterPosts,twitterComments,twitterLikes,twitterImpressions,twitterSentiment
27/11/2021,DIS,68,65,537,140176,
27/11/2021,ES,21,16,105,39219,
27/11/2021,F,59,142,909,239293,
27/11/2021,GOOG,24,50,363,58063,
27/11/2021,GOOGL,163,3282,12039,424086,
27/11/2021,KEY,58,827,5878,103499,
27/11/2021,META,243,3089,14667,2176291,
27/11/2021,MNST,562,387201,381468,236645,
27/11/2021,MSFT,373,6388,33703,1432404,
27/11/2021,NFLX,85,251,2246,385501,
27/11/2021,NVDA,264,1615,9803,1285193,
27/11/2021,PFE,527,10942,41898,4439342,
27/11/2021,T,40,89,319,47848,
27/11/2021,TSLA,4303,211360,1650211,10318206,
28/11/2021,AAL,28,18,83,945427,
28/11/2021,AAPL,812,15952,97341,2928903,
28/11/2021,ABT,38,0,0,3415,
28/11/2021,AES,627,7292447,8463282,26448,
28/11/2021,AMD,335,10497,53401,1798840,
28/11/2021,AMZN,557,5818,40909,38334141,
28/11/2021,BA,106,15833,18632,290272,
28/11/2021,CRM,142,748,3038,1601809,
28/11/2021,DIS,100,2762,10043,1056192,
28/11/2021,ES,51,87,736,121873,
28/11/2021,F,79,225,2014,360309,
28/11/2021,GOOGL,107,2046,7639,318814,
28/11/2021,GS,25,30,100,43677,
28/11/2021,META,249,1502,9208,1789548,
28/11/2021,MNST,1221,2106193,2022331,475158,
28/11/2021,MSFT,366,12607,121535,1396397,
28/11/2021,NFLX,82,992,8857,658893,
28/11/2021,NKE,26,226,1318,84653,
28/11/2021,NVDA,283,2022,14326,1160780,
28/11/2021,PFE,541,21330,64953,8133225,
28/11/2021,TSLA,4510,259298,2141552,9483982,
29/11/2021,AAL,123,88,304,635723,
29/11/2021,AAPL,1337,9818,65700,7974431,
29/11/2021,ABBV,23,72,99,37357,
29/11/2021,ABT,29,2,0,5999,
29/11/2021,AES,53,607432,707086,207146,
29/11/2021,AMD,1047,9360,27722,6499865,
29/11/2021,AMZN,1208,17207,71684,11335048,
29/11/2021,ATVI,24,4,10,51646,
29/11/2021,BA,601,102172,113344,1075312,
29/11/2021,C,23,15,71,132886,
29/11/2021,CRM,212,365,1706,6245222,
29/11/2021,DAL,91,57,208,1269895,
29/11/2021,DIS,610,3100,12425,4051290,
29/11/2021,EBAY,32,44,184,197756,
29/11/2021,ES,334,309,2213,1035199,
29/11/2021,F,165,107,883,744720,
29/11/2021,FCX,151,13727,17468,229752,
29/11/2021,GILD,26,26,18,74298,
29/11/2021,GOOG,128,875,6133,843834,
29/11/2021,GOOGL,189,1349,11583,380115,
29/11/2021,GS,48,8,68,186214,
29/11/2021,JPM,30,62,131,193910,
29/11/2021,KEY,42,70,270,181674,
29/11/2021,KO,22,5,25,37754,
29/11/2021,MA,31,106,653,66106,
29/11/2021,META,739,2725,19876,6415891,
29/11/2021,MO,27,184,222,70319,
29/11/2021,MSFT,558,8138,57736,3523654,
29/11/2021,MU,42,12,111,334349,
29/11/2021,NFLX,158,581,3475,606417,
29/11/2021,NVDA,673,1204,9425,4346185,
29/11/2021,OXY,473,490737,176318,288019,
29/11/2021,PFE,1036,9438,31585,11618369,
29/11/2021,T,101,82,265,327079,
29/11/2021,TSLA,4749,192178,1855976,19846722,
29/11/2021,V,75,144,893,4571771,
30/11/2021,AAL,172,98,505,1051722,
30/11/2021,AAPL,3706,11322,81387,28415161,
30/11/2021,ABBV,36,542,2016,195332,
30/11/2021,ABT,114,1020,4326,256059,
